,Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total,coordinates
113,26th ST,AT,LELAND AV,AUTO ,SR,May 15 2014,THU,442.0,39.0,0.0,0.0,481.0,"(33.7206724, -118.3012584)"
114,27 th ST,AT,BARBARA ST,AUT,SR,April 07 2013,SUN,432.0,289.0,0.0,0.0,721.0,"(33.7196395, -118.3033044)"
115,27 th ST,AT,BARBARA ST,AUT,SR,April 06 2013,SAT,553.0,337.0,0.0,0.0,890.0,"(33.7196395, -118.3033044)"
116,27 th ST,AT,PATTON AV,AUT,SR,January 14 2014,TUE,369.0,538.0,0.0,0.0,907.0,"(33.7187865, -118.3050191)"
117,27 th ST,AT,BARBARA ST,AUT,SR,April 05 2013,FRI,615.0,445.0,0.0,0.0,1060.0,"(33.7196395, -118.3033044)"
118,27th ST,AT,LELAND AV,AUTO,SR,May 15 2014,THU,944.0,787.0,0.0,0.0,1731.0,"(33.72029759999999, -118.3026461)"
119,2nd ST,BTWN,HILL ST AND BROADWAY,AUTO,CR,May 01 2014,THU,6177.0,8084.0,0.0,0.0,14261.0,"(34.0524028, -118.2466929)"
120,2nd ST ,BTWN,BROADWAY AND SPRING ST,AUTO,CR,May 01 2014,THU,5814.0,8335.0,0.0,0.0,14149.0,"(34.0496278, -118.2478878)"
121,3 rd AV,AT,17 th ST,AUTO,HW,March 04 2014,TUE,0.0,0.0,1052.0,727.0,1779.0,"(34.0418302, -118.3201096)"
122,3 rd ST,AT,COLUMBIA AV,AUTO,SR,February 12 2013,TUE,508.0,353.0,0.0,0.0,861.0,"(34.059432, -118.264409)"
123,3 rd ST,AT,BERENDO ST,MAN,HW,December 11 2013,WED,0.0,0.0,693.0,435.0,1128.0,"(34.0690477, -118.2941762)"
124,3 rd ST,AT,HILL ST,MAN,HW,June 29 2011,WED,783.0,362.0,,,1144.0,"(34.05168, -118.2490986)"
125,3 rd ST,AT,MAIN ST,MAN,CR,June 17 2011,FRI,552.0,623.0,,,1175.0,"(34.0495432, -118.2459067)"
